model_type_hyperparam,test_option,correct_count,wrong_count,accuracy
svm_poly_10,localsever_seen,164,86,65.6
svm_poly_10,localsever_unseen,22,38,36.6667
svm_poly_10,grid5000_seen,248,2,99.2
svm_poly_10,grid5000_unseen,41,19,68.3333
svm_poly_100,localsever_seen,178,72,71.2
svm_poly_100,localsever_unseen,21,39,35.0
svm_poly_100,grid5000_seen,250,0,100.0
svm_poly_100,grid5000_unseen,30,30,50.0
svm_poly_1000,localsever_seen,217,33,86.8
svm_poly_1000,localsever_unseen,31,29,51.6667
svm_poly_1000,grid5000_seen,250,0,100.0
svm_poly_1000,grid5000_unseen,31,29,51.6667
svm_sigmoid_10,localsever_seen,182,68,72.8
svm_sigmoid_10,localsever_unseen,43,17,71.6667
svm_sigmoid_10,grid5000_seen,229,21,91.6
svm_sigmoid_10,grid5000_unseen,45,15,75.0
svm_sigmoid_100,localsever_seen,189,61,75.6
svm_sigmoid_100,localsever_unseen,41,19,68.3333
svm_sigmoid_100,grid5000_seen,210,40,84.0
svm_sigmoid_100,grid5000_unseen,40,20,66.6667
svm_sigmoid_1000,localsever_seen,189,61,75.6
svm_sigmoid_1000,localsever_unseen,33,27,55.0
svm_sigmoid_1000,grid5000_seen,210,40,84.0
svm_sigmoid_1000,grid5000_unseen,40,20,66.6667
svm_rbf_10,localsever_seen,40,210,16.0
svm_rbf_10,localsever_unseen,10,50,16.6667
svm_rbf_10,grid5000_seen,250,0,100.0
svm_rbf_10,grid5000_unseen,10,50,16.6667
svm_rbf_100,localsever_seen,40,210,16.0
svm_rbf_100,localsever_unseen,10,50,16.6667
svm_rbf_100,grid5000_seen,250,0,100.0
svm_rbf_100,grid5000_unseen,10,50,16.6667
svm_rbf_1000,localsever_seen,40,210,16.0
svm_rbf_1000,localsever_unseen,10,50,16.6667
svm_rbf_1000,grid5000_seen,250,0,100.0
svm_rbf_1000,grid5000_unseen,10,50,16.6667
nn_2_32_0.1,localsever_seen,208,42,83.2
nn_2_32_0.1,localsever_unseen,36,24,60.0
nn_2_32_0.1,grid5000_seen,250,0,100.0
nn_2_32_0.1,grid5000_unseen,24,36,40.0
nn_2_32_0.2,localsever_seen,214,36,85.6
nn_2_32_0.2,localsever_unseen,34,26,56.6667
nn_2_32_0.2,grid5000_seen,250,0,100.0
nn_2_32_0.2,grid5000_unseen,20,40,33.3333
nn_2_32_0.3,localsever_seen,202,48,80.8
nn_2_32_0.3,localsever_unseen,30,30,50.0
nn_2_32_0.3,grid5000_seen,250,0,100.0
nn_2_32_0.3,grid5000_unseen,26,34,43.3333
nn_2_64_0.1,localsever_seen,202,48,80.8
nn_2_64_0.1,localsever_unseen,32,28,53.3333
nn_2_64_0.1,grid5000_seen,250,0,100.0
nn_2_64_0.1,grid5000_unseen,20,40,33.3333
nn_2_64_0.2,localsever_seen,211,39,84.4
nn_2_64_0.2,localsever_unseen,30,30,50.0
nn_2_64_0.2,grid5000_seen,250,0,100.0
nn_2_64_0.2,grid5000_unseen,20,40,33.3333
nn_2_64_0.3,localsever_seen,214,36,85.6
nn_2_64_0.3,localsever_unseen,30,30,50.0
nn_2_64_0.3,grid5000_seen,250,0,100.0
nn_2_64_0.3,grid5000_unseen,20,40,33.3333
nn_3_32_0.1,localsever_seen,205,45,82.0
nn_3_32_0.1,localsever_unseen,40,20,66.6667
nn_3_32_0.1,grid5000_seen,250,0,100.0
nn_3_32_0.1,grid5000_unseen,30,30,50.0
nn_3_32_0.2,localsever_seen,202,48,80.8
