cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
2.75,2.859666666666667,3.662511189778646,56.76908,0.0,0.0
2.76,2.702,8.12027359008789,94.973207,0.0,0.0
,,,0.0,0.0,0.0
2.77,2.699,8.126701354980469,119.581359,0.0,0.0
2.79,2.699,8.118896484375,156.776271,0.0,0.0
,,,0.0,0.0,0.0
2.81,2.699,8.120391845703125,178.941436,0.0,0.0
,,,0.0,0.0,0.0
2.83,2.698,8.121406555175781,182.938863,0.0,0.0
,,,0.0,0.0,0.0
2.86,2.698,8.12276840209961,178.454682,0.0,0.0
2.88,2.698,8.12277603149414,186.203991,0.0,0.0
,,,0.0,0.0,0.0
2.91,2.698,8.12283706665039,175.908547,0.0,0.0
,,,0.0,0.0,0.0
2.93,2.699,8.1246337890625,142.438661,0.0,0.0
2.95,2.694,8.124664306640625,142.824158,0.0,0.0
,,,0.0,0.0,0.0
2.96,2.698,8.121246337890625,160.003497,0.0,0.0
2.99,2.698,8.12197494506836,172.54686,0.0,0.0
,,,0.0,0.0,0.0
3.01,2.698,8.123245239257812,179.473235,0.0,0.0
,,,0.0,0.0,0.0
3.03,2.699,8.122943878173828,174.934305,0.0,0.0
,,,0.0,0.0,0.0
3.05,2.699,8.12448501586914,178.454622,0.0,0.0
3.08,2.699,8.124786376953125,179.185759,0.0,0.0
,,,0.0,0.0,0.0
3.1,2.697,8.125770568847656,178.919891,0.0,0.0
,,,0.0,0.0,0.0
3.12,2.699,8.123252868652344,155.61801,0.0,0.0
3.14,2.697,8.124282836914062,163.097971,0.0,0.0
,,,0.0,0.0,0.0
3.176666666666667,2.8585,7.731070200602214,194.32366,0.0,0.0
