cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
56.884,2.5202,0.9290046691894531,1.580867,0.0,2.0
56.876,2.4706,0.9278030395507812,1.5809900000000001,3.0,0.0
56.875,2.2465,2.694164276123047,10.544039999999999,0.0,26.0
56.88,3.6995,6.610958099365234,17.039019,2310.0,19.0
56.89,3.5575,7.494415283203125,14.411584000000001,2463.0,76.0
56.9,2.9425,7.496700286865234,9.311744000000001,0.0,1.0
56.91,2.6365,7.498260498046875,9.692664,5.0,5.0
56.92,2.87,7.504505157470703,11.148469,175.0,376.0
56.93,2.61,7.499336242675781,4.610584,0.0,3.0
56.935,2.8754999999999997,7.5005340576171875,10.971163,0.0,0.0
56.945,2.7664999999999997,7.501976013183594,9.073342,0.0,0.0
56.95666666666667,2.8846666666666665,7.503943125406901,13.115749000000001,0.0,199.0
56.965,2.8495,7.505887985229492,8.16215,3.0,0.0
56.974999999999994,2.6319999999999997,7.506488800048828,8.575295,0.0,5.0
56.985,3.021,7.507566452026367,11.100802999999999,0.0,0.0
56.995000000000005,2.6275,7.508167266845703,8.960243,0.0,6.0
57.0,3.0515,7.5084075927734375,8.130777,1.0,0.0
57.01,2.752,7.50238037109375,9.234839000000001,72.0,15.0
57.02,2.638,7.50297737121582,9.250404,0.0,0.0
57.03,2.996,7.5030975341796875,11.197970000000002,0.0,5.0
57.04,2.677,7.508144378662109,9.418066,0.0,197.0
57.05,2.878,7.509346008300781,6.594099,0.0,0.0
57.055,2.709,7.509706497192383,9.330727,3.0,2.0
57.06666666666666,2.8476666666666666,7.510066986083984,13.207241,0.0,2.0
57.075,2.8225,7.510187149047852,8.763039,0.0,0.0
57.08,2.612,7.498523712158203,4.761951,238.0,1.0
57.093333333333334,2.894666666666667,7.500202178955078,13.576564000000001,1.0,1.0
57.1,2.636,7.504261016845703,4.618824,4.0,9.0
57.11,2.6470000000000002,7.505462646484375,9.834142,0.0,2.0
57.12,2.9844999999999997,7.5064239501953125,10.826815,0.0,6.0
57.125,2.628,7.507381439208984,8.550882000000001,0.0,0.0
57.135000000000005,3.0585,7.50651741027832,10.258151999999999,348.0,4723.0
57.144999999999996,2.615,7.503120422363281,9.418859999999999,3.0,364.0
57.155,2.7794999999999996,7.5043182373046875,10.334141,0.0,0.0
57.165,2.9195,7.505037307739258,9.547705,0.0,9.0
57.17,2.637,7.505878448486328,9.090004,0.0,0.0
57.18,3.0495,7.506813049316406,9.807958,1.0,2.0
57.19,2.6359999999999997,7.506650288899739,11.094394000000001,180.0,26.0
57.2,2.884,7.503185272216797,6.262312,0.0,0.0
57.205,2.906,7.504144668579102,9.946569,0.0,0.0
57.215,2.645,7.504863739013672,10.796481,0.0,0.0
57.23,2.964,7.505344390869141,10.827304,0.0,11.0
57.24,2.615,7.505825042724609,4.742847,0.0,0.0
57.24666666666667,2.9019999999999997,7.506626129150391,13.893457999999999,3.0,5.0
57.254999999999995,2.6255,7.508108139038086,8.165812,0.0,0.0
57.265,2.964,7.50834846496582,11.680816,0.0,0.0
57.275000000000006,2.67,7.5084686279296875,8.963539999999998,1.0,1.0
57.285,2.7720000000000002,7.508583068847656,11.4133,4.0,6.0
57.29,3.374,7.508937835693359,4.270253,0.0,9.0
57.295,2.632,7.509057998657227,9.131874,0.0,0.0
57.305,2.883,7.509178161621094,10.829013,0.0,0.0
57.315,2.7545,7.509605407714844,9.717444,0.0,21.0
57.325,2.6605,7.494691848754883,8.218361999999999,174.0,0.0
57.335,3.084,7.496007919311523,10.725802999999999,3.0,1.0
57.345,2.629,7.496969223022461,8.985145,0.0,8.0
57.35333333333333,2.9586666666666663,7.4973297119140625,10.572727,0.0,0.0
57.36,2.6465,7.498291015625,7.779704000000001,1.0,1.0
57.37,2.8194999999999997,7.500093460083008,11.270113,4.0,10.0
57.38,2.684,7.50213623046875,9.201576,0.0,0.0
57.39,2.6435,7.502496719360352,10.126864999999999,0.0,0.0
57.4,3.06,7.503816604614258,9.567298000000001,0.0,0.0
57.41,2.605,7.5047760009765625,4.702259,0.0,0.0
57.415,2.767,7.505617141723633,11.550873,14.0,36.0
57.425,2.859,7.507179260253906,9.137733,0.0,0.0
57.435,2.6435,7.507419586181641,8.733682,0.0,5.0
57.44,3.0995,7.507659912109375,11.835113,0.0,0.0
57.45,2.623,7.507976531982422,8.277078,1.0,0.0
57.46,3.008,7.500322341918945,12.368072,102.0,0.0
57.47,2.63,7.493904113769531,4.686389,0.0,0.0
57.474999999999994,2.6654999999999998,7.494621276855469,9.510474,0.0,2.0
57.485,2.9859999999999998,7.495342254638672,11.295259,0.0,0.0
57.495000000000005,2.637,7.498167037963867,9.337806,716.0,6193.0
57.504999999999995,3.0715,7.502202987670898,11.123446,866.0,4715.0
57.51,2.699,7.500116348266602,10.54996,1640.0,5292.0
57.52,2.8369999999999997,7.503197987874349,12.310455,1661.0,2156.0
57.53,2.9185,7.504350662231445,9.489111000000001,0.0,116.0
